"BehaviorSpace results (NetLogo 6.0.4)"
"affordance-landscape.nlogo"
"Copenhagen timeseries batch"
"07/31/2019 13:52:15:321 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","networks","initial-pro","construct-non","mutate-on?","network-param","initial-non","network-type","niche-construction","random-seed?","social-learning","rseed","asocial-learning","mu","number-of-agents","construct-pro","pro-amount","[step]","pro-behavior","non-behavior","mean [pro-env] of turtles","mean [non-env] of turtles"
"12","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1","0.4","17885","53","247","0.20243302514617265","0.7978101376338749"
"3","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1","0.4","17885","82","218","0.24742203437188934","0.5413740127373821"
"6","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1","0.4","17885","51","249","0.19662582038095228","0.7992252297151397"
"9","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1","0.4","17885","55","245","0.21335742683323897","0.8018371283520752"
"8","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1","0.4","17885","55","245","0.22394088741249965","0.8006338718011378"
"4","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1","0.4","17885","51","249","0.25588932852321417","0.7993239355607189"
"2","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1","0.4","17885","64","236","0.2761244406409329","0.8042577881871492"
"10","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1","0.4","17885","45","255","0.19365056682364612","0.8012246383623332"
"11","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1","0.4","17885","51","249","0.20365170400218943","0.7982193864991981"
"5","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1","0.4","17885","49","251","0.22313917859322685","0.7693074434526108"
"1","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1","0.4","17885","51","249","0.20280935702160693","0.8001793908294738"
"7","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1","0.4","17885","43","257","0.19721086521007436","0.8012882735913474"
"13","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1","0.4","17885","51","249","0.1989082276438398","0.7720965349892623"
"14","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1","0.4","17885","54","246","0.1976957209740574","0.7030516128444397"
"15","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1","0.4","17885","85","215","0.388538593398819","0.7892554310732001"
"16","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1","0.4","17885","44","256","0.19921802975799002","0.7986772192958679"
"17","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1","0.4","17885","50","250","0.19940925210145066","0.7272918224798073"
"18","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1","0.4","17885","56","244","0.24697340668851378","0.7946979350124632"
"19","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1","0.4","17885","51","249","0.2028185335895783","0.7541919883987535"
"20","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1","0.4","17885","55","245","0.1975254629993375","0.7854496017203959"
"21","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1","0.4","17885","46","254","0.24015310928742692","0.762115187121586"
"23","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1","0.4","17885","57","243","0.2372195720623742","0.8417980164469588"
"22","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1","0.4","17885","45","255","0.21472394068384573","0.8024858445860803"
"24","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1","0.4","17885","51","249","0.20411452600137","0.696678250221465"
"25","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1","0.4","17885","52","248","0.2127396407781376","0.7999106738071415"
"26","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1","0.4","17885","69","231","0.3050435976728872","0.7944323157816034"
"27","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1","0.4","17885","59","241","0.2197161080886581","0.7614962500481162"
"28","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1","0.4","17885","50","250","0.1977576755541803","0.7742730449004259"
"29","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1","0.4","17885","56","244","0.19966092685155007","0.7485558991510711"
