"BehaviorSpace results (NetLogo 6.0.4)"
"behaviour-field7.nlogo"
"Sensitivity-asoc"
"07/22/2019 09:33:27:297 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","initial-pro","networks","construct-non","rebound","mutate-on?","network-param","initial-non","network-type","niche-construction","random-seed?","social-learning","asocial-learning","rseed","mu","number-of-agents","construct-pro","pro-amount","[step]","mean [pro-env] of turtles","mean [non-env] of turtles","standard-deviation [pro-env] of turtles","standard-deviation [non-env] of turtles","pro-behavior","non-behavior"
"5","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.5421628498257557","0.4698271088925054","0.2162859019954755","0.22137068914408073","154","146"
"8","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.6758081348245565","0.332849470110376","0.12875208578694725","0.13633506912044577","207","93"
"9","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.669994584788282","0.3355610472472639","0.17285104597605133","0.16573743301530783","216","84"
"4","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.4347055881838498","0.571753163425056","0.2162987769292814","0.20935168605324","127","173"
"3","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.636814340926457","0.3690807017491896","0.17190300932352903","0.16345984779163922","165","135"
"2","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.5660287066579383","0.4295315847256353","0.21299199117125983","0.2093601676003526","175","125"
"11","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.28484028552012863","0.7171928743552349","0.12839387849199604","0.12324755973262491","66","234"
"6","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.6223214802321667","0.38527901674535026","0.1786376566163699","0.1737813950472117","195","105"
"10","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.4396426484146356","0.5727447179581662","0.21757080584328017","0.2146926289832133","124","176"
"7","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.6077250256118937","0.3822580709711181","0.1856914684111469","0.19259734963938055","193","107"
"12","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.5269809928647298","0.4806849036160632","0.217994951840824","0.20966708816610424","142","158"
"1","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.5220606968276094","0.5015407468554035","0.2189884026210944","0.226650116233354","152","148"
"13","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.5680749040853276","0.41061282744631206","0.2218153237854169","0.21456282117749095","172","128"
"14","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.70933650736515","0.285000576778628","0.1341065741477513","0.13304938543476882","216","84"
"16","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.412493232314853","0.5958854414660736","0.19082523033378335","0.19628633006008883","122","178"
"17","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.49037939330628727","0.5167274454685629","0.20310337587308702","0.19935468358840974","148","152"
"15","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.3681740067322295","0.6451608372557002","0.18103692499382285","0.17789294855564688","91","209"
"18","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.446088234461095","0.5411010286476626","0.23173759586114218","0.2319458370607476","148","152"
"19","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.5808435116991041","0.4064451082545136","0.21338706891816359","0.21596479520743586","190","110"
"21","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.3184569453813507","0.6864687589295386","0.16285126071963113","0.14914224159099518","79","221"
"22","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.6172270694355789","0.3819743349289168","0.2085218870839084","0.2031981745989202","179","121"
"20","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.3773416653973217","0.6353555163597129","0.18122903360707157","0.17505978911537473","108","192"
"23","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.46447246136822495","0.5297384929439244","0.22070407662048824","0.22030219647167107","134","166"
"24","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.37705895598233","0.6280043844119757","0.1829076518109703","0.19560915534387263","105","195"
"25","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.3073281160236994","0.6835658432542452","0.12692811976149748","0.1378710972821929","77","223"
"26","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.4430624195052451","0.5758063387309331","0.20722620711317596","0.2067885223154684","136","164"
"29","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.4151831955773645","0.574210905767556","0.19416557348763974","0.19725177319149814","123","177"
"28","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.612582554599119","0.39918421807213994","0.2091642356542316","0.20917100542829534","175","125"
