"BehaviorSpace results (NetLogo 6.0.4)"
"behaviour-field7.nlogo"
"Sensitivity-env"
"07/17/2019 13:31:49:975 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","initial-pro","networks","construct-non","rebound","mutate-on?","network-param","initial-non","network-type","niche-construction","random-seed?","social-learning","asocial-learning","rseed","mu","number-of-agents","construct-pro","pro-amount","[step]","mean [pro-env] of turtles","mean [non-env] of turtles","standard-deviation [pro-env] of turtles","standard-deviation [non-env] of turtles","pro-behavior","non-behavior"
"9","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.19641717342287937","0.8046359197600403","0.04908297567506863","0.050637451272907814","0","300"
"4","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.1942638317072821","0.7982605380310087","0.05076221707070727","0.048726466574540224","0","300"
"5","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.1949966721629192","0.8003524855351326","0.052272233219534635","0.05312416355267377","0","300"
"10","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.1983454798181808","0.7975689435318588","0.049012240554357746","0.04814045852806613","0","300"
"3","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.19844032868312936","0.8050754950629359","0.05116004037992902","0.048497642055982414","0","300"
"2","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.20268273760105654","0.8008349329241655","0.050280735420320674","0.045045210079739044","0","300"
"6","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.19701096091798823","0.7987698813609653","0.04936319121637555","0.04791884711707711","0","300"
"1","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.19434708646062268","0.8014138171483417","0.05179462995804856","0.04976132681926221","0","300"
"8","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.20086151967912927","0.8087071325497857","0.05008940887833132","0.04691166847374724","0","300"
"7","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.19405456658066975","0.8001008558915159","0.05471658856809197","0.05371432994537417","0","300"
"11","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.20006868367318156","0.7995993337589082","0.05029457096031891","0.05049018758072057","0","300"
"12","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.19874153395899807","0.8019697720301775","0.048706396880904626","0.05101826847117244","0","300"
"13","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.20268527480240947","0.7998316947871624","0.04697906489407541","0.05179013502440158","0","300"
"16","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.19811259473065734","0.8028029050905577","0.05161843402380189","0.05230246839657788","0","300"
"14","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.19804924217040223","0.8012410374603501","0.051714404295974736","0.05247199147994623","0","300"
"15","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.1980763050872853","0.8017468657073636","0.0449215980754432","0.05125668391060667","0","300"
"18","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.199620576524169","0.7975866219167626","0.052300671029910685","0.04903418710177924","0","300"
"17","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.19811122545713117","0.7994066437456182","0.04820601668963376","0.04907999144252089","0","300"
"19","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.20089078322882534","0.7940773075001031","0.049160269596952175","0.04901394817493721","0","300"
"22","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.20026045062384035","0.8009875243743518","0.05021917016489629","0.04827377814591577","0","300"
