"BehaviorSpace results (NetLogo 6.0.4)"
"behaviour-field7.nlogo"
"Sensitivity-nc"
"07/18/2019 12:23:07:505 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","initial-pro","networks","construct-non","rebound","mutate-on?","network-param","initial-non","network-type","niche-construction","random-seed?","social-learning","asocial-learning","rseed","mu","number-of-agents","construct-pro","pro-amount","[step]","mean [pro-env] of turtles","mean [non-env] of turtles","standard-deviation [pro-env] of turtles","standard-deviation [non-env] of turtles","pro-behavior","non-behavior"
"11","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.353655907101689","0.639374981628557","0.17463687878348358","0.18530322919862321","104","196"
"7","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.5001918761207798","0.5037643633338444","0.22259385439286064","0.2167192010847923","151","149"
"6","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.5713871351266971","0.42065175058609716","0.22996658741081707","0.2295349851448476","175","125"
"12","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.2919104090574641","0.7109632389605645","0.15346600268311025","0.14645726360516503","74","226"
"3","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.5222798870755013","0.48553107993077965","0.2392576844862832","0.23503087403706366","150","150"
"10","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.5960054594590415","0.4132926275866408","0.20396136489027786","0.21170559921421472","163","137"
"1","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.41909820181089125","0.5801833701883513","0.2058221627298165","0.20196446236115162","122","178"
"2","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.42551822186154276","0.567589961727422","0.20915025012553792","0.2102810107949907","127","173"
"8","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.3785803480154371","0.6305511300900064","0.21057508732848446","0.20740563300872944","110","190"
"4","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.49215877188716084","0.5130697056036736","0.24267479064788378","0.23205122808282555","128","172"
"5","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.34930498559352496","0.6583099135130094","0.1796087020826839","0.17941510031473756","110","190"
"9","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.4558514832101029","0.5596075985486256","0.23978904311467034","0.22480494663620681","133","167"
"14","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.6514829851020337","0.35476682621850336","0.19472788935281096","0.19797721340148008","208","92"
"13","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.49448748999881303","0.5101872214187511","0.19927005860123548","0.202462555943851","154","146"
"17","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.6836235650372651","0.3198099301473697","0.15880878414765567","0.15584170637145858","217","83"
"15","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.7195337117692474","0.27453823999206006","0.12974389065533337","0.11898251243781366","217","83"
"16","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.5307078218952153","0.4590455811412912","0.208299442362732","0.20600532916125275","159","141"
"18","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.5614705311078543","0.4393538506217414","0.2409475426246308","0.23893431291758568","161","139"
"19","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.5306162964520655","0.4621306403922376","0.21352684286169835","0.2119569920676262","156","144"
"21","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.40507789561816776","0.6026677978843047","0.20524779792484082","0.20293293762272602","119","181"
"20","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.2625649839716394","0.7355541634457853","0.11506204342354998","0.11670130047531933","69","231"
"22","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.43632377072900236","0.5768361758339403","0.21590181022752417","0.20873957273371666","138","162"
"23","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.6047076770395854","0.38666103782597533","0.22549448374739295","0.22740988751866464","183","117"
"24","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.38115162811466546","0.6166438522020473","0.222537859214158","0.23856904662563347","111","189"
"27","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.6172625685193144","0.388914270668498","0.21416919815571164","0.20611728447150665","190","110"
