"BehaviorSpace results (NetLogo 6.0.4)"
"behaviour-field7.nlogo"
"Sensitivity-pro"
"07/22/2019 12:01:42:831 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","initial-pro","networks","construct-non","rebound","mutate-on?","network-param","initial-non","network-type","niche-construction","random-seed?","social-learning","asocial-learning","rseed","mu","number-of-agents","construct-pro","pro-amount","[step]","mean [pro-env] of turtles","mean [non-env] of turtles","standard-deviation [pro-env] of turtles","standard-deviation [non-env] of turtles","pro-behavior","non-behavior"
"15","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20173942464880815","0.7982476836285848","0.047683049110878686","0.05204385159448465","45","255"
"24","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20318295537828454","0.792847183946147","0.04961679741887774","0.05119133872778318","42","258"
"7","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20053927741194588","0.7945502806995064","0.04976714360602275","0.049701419852739515","45","255"
"22","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20188583971753887","0.7994162007264626","0.04911493821224573","0.05037245018763856","47","253"
"23","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.19723260529896725","0.7970517308818506","0.050310142657413216","0.04892261438970958","45","255"
"10","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.2001187772034203","0.7949449868311242","0.04793800612943003","0.050277940369463016","50","250"
"5","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20098110501891103","0.7928288686548183","0.05110520808056635","0.05110847006791579","46","254"
"6","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20126609779271812","0.7999169472571364","0.04896607494251105","0.05104819309679189","57","243"
"18","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20264784939428493","0.7989192105704255","0.04926808374493929","0.051891177178020796","58","242"
"13","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.2041840115486295","0.7947609654986089","0.048951066649564216","0.05554702429708775","51","249"
"17","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.2038348027034697","0.7978607189831014","0.04887387258648438","0.05053344023563228","58","242"
"9","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20486526717499637","0.8002145527817737","0.05122765392276406","0.0511731128133766","36","264"
"19","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.19443840441849963","0.7934513932671187","0.05085375548702283","0.0518232825143026","47","253"
"1","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20226454536049546","0.799221490059447","0.049090878358098285","0.054365062190562925","45","255"
"16","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.1950651543636179","0.7959882710066666","0.05222332846853401","0.04855273335289499","57","243"
"3","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.19522635322603116","0.7952297999805334","0.04839342555052913","0.049783517374322905","56","244"
"14","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.1998289189518361","0.7958356140591178","0.05263920479872469","0.05494161462843727","53","247"
"20","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.19856258139903848","0.7910202480702505","0.04581485796518241","0.052273150225466816","41","259"
"12","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.19907837564241737","0.7983661620507688","0.05071389632029674","0.049640178838211924","54","246"
"2","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.19867783130754718","0.7981917849202628","0.04830012864816548","0.04938124306717082","42","258"
"21","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.1966314186289628","0.7994623311476965","0.047890622125259935","0.05034936418094725","49","251"
"11","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20093860412026376","0.7967936077631267","0.05317559588475123","0.05677986155741469","58","242"
"8","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.19610390997087365","0.7944240052306041","0.04899230312795982","0.05267915544319117","42","258"
"4","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.199184594379737","0.791244221695936","0.05230290002794043","0.05357456189066578","55","245"
"25","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20351464023992236","0.7979123769671917","0.05193820862235873","0.04920674504310682","46","254"
"26","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.1980939157980257","0.7941248873496266","0.0469349542867619","0.054702258875045935","42","258"
"27","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.19469778979658495","0.7944659872899547","0.050089316989114334","0.04882185870743653","46","254"
"28","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.19434632393433485","0.7940890808013061","0.04908144026804194","0.04918705325075194","58","242"
"31","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.19628730527136437","0.7992192334212728","0.04743290555146422","0.048423070103954205","55","245"
"29","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.19946078967001865","0.7948269899432205","0.04760594183881196","0.05352155571928701","56","244"
"30","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20024746678172908","0.7945869022690966","0.05231537267442267","0.05070627258738549","43","257"
"33","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20087192653875013","0.7969665899641011","0.04969520786562937","0.05177010461856854","64","236"
"32","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.19555427071936207","0.7968282349917589","0.05086973374578708","0.04627818451528969","56","244"
"35","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20387227111011838","0.7882704598803656","0.050262304689265666","0.04909621785561976","45","255"
"34","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20201722739947425","0.7921366218374614","0.048274609187034474","0.051215324766333656","48","252"
"38","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20160169889348117","0.7991663714465439","0.05009683318384967","0.05119710677407167","54","246"
"36","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20104347833196892","0.7905281640750652","0.050405239706348984","0.049125926237922016","46","254"
