"BehaviorSpace results (NetLogo 6.0.4)"
"affordance-landscape.nlogo"
"Stylized batch"
"07/30/2019 17:17:54:818 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","initial-pro","networks","construct-non","mutate-on?","network-param","initial-non","network-type","niche-construction","random-seed?","social-learning","asocial-learning","rseed","mu","number-of-agents","construct-pro","pro-amount","[step]","mean [pro-env] of turtles","mean [non-env] of turtles","standard-deviation [pro-env] of turtles","standard-deviation [non-env] of turtles","pro-behavior","non-behavior"
"10","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0","2000","0.19882521358373464","0.797996875253652","0.051943728367427736","0.049704855878164235","0","300"
"8","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0","2000","0.19353037092025022","0.8019821975557798","0.050386459953087756","0.047435409347264694","0","300"
"7","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0","2000","0.19953342105764557","0.8023668259884893","0.05107041084193783","0.04944083461600094","0","300"
"2","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0","2000","0.20226160928977602","0.8033542732791542","0.04932057887767509","0.050248361152304404","0","300"
"3","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0","2000","0.20017925655407587","0.8024178836912492","0.04693553400269284","0.04726055502694729","0","300"
"1","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0","2000","0.19891849122274752","0.8049226828959807","0.04898362839944272","0.048595260163569576","0","300"
"11","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0","2000","0.19830941211954176","0.7972102553042446","0.04911287277309283","0.04988556413788053","0","300"
"9","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0","2000","0.20215259265031996","0.794349996948187","0.04782834297096278","0.04806210239703934","0","300"
"6","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0","2000","0.19980151448741246","0.8044496141588507","0.052566384076968065","0.048823636645058614","0","300"
"4","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0","2000","0.19894949130878078","0.7976731516573684","0.052230975779390634","0.04847977488543142","0","300"
"12","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0","2000","0.20176670564254842","0.7985610728322629","0.05041815769587689","0.048066574791480424","0","300"
"5","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0","2000","0.2021526040994995","0.7975649873386327","0.05070857045707745","0.04912523036318149","0","300"
"13","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0","2000","0.2013671329111526","0.7979148547413298","0.04816537663387241","0.05142939222651349","0","300"
"14","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0","2000","0.19972077015434336","0.80424766612074","0.05031215523498223","0.051241592257044506","0","300"
"17","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0","2000","0.2017861365940212","0.8048659033450082","0.05179104395133254","0.04889938833781908","0","300"
"16","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0","2000","0.20110736624313083","0.8001172846392244","0.049091927375964434","0.04875458066522067","0","300"
"15","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0","2000","0.19933619031729266","0.7955265478710499","0.05047600155843412","0.04969758287433279","0","300"
"19","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0","2000","0.19600963681010997","0.8033436706326803","0.04974773961336111","0.056286905538227246","0","300"
"21","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0","2000","0.19926461973195542","0.7967485923085398","0.052530416848344814","0.04736854205495877","0","300"
"20","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0","2000","0.19551220257556592","0.7976033208866767","0.05140025199919708","0.04939692802773145","0","300"
"23","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0","2000","0.20130880871024023","0.8042195984358046","0.04771957076752332","0.04945570392379602","0","300"
"22","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0","2000","0.1974878468901401","0.8033520647245012","0.04863384785243171","0.04894013654111698","0","300"
"24","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0","2000","0.19829192685526384","0.8044089780216842","0.04963900104871969","0.05115415888784463","0","300"
"18","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0","2000","0.20144199904818694","0.8004945628639603","0.051724260329813136","0.051389717415908726","0","300"
"25","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0","2000","0.2051654263459585","0.805696811349511","0.049939157632287304","0.0489307579309853","0","300"
"26","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0","2000","0.20114953166159477","0.7967897218423113","0.050392479645699796","0.049743160976737845","0","300"
"28","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0","2000","0.1980869188587741","0.8053988302066611","0.04803169251137476","0.05128290530994204","0","300"
"27","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0","2000","0.203877869227407","0.8027772893126649","0.049884631028693845","0.049208192826057096","0","300"
"29","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0","2000","0.2000675235957516","0.7959649766550999","0.04974839398783128","0.050348433695042584","0","300"
"30","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0","2000","0.1934123163697639","0.7998250305452151","0.04657149141758049","0.04980973923393983","0","300"
"32","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.01","2000","0.20003041965862178","0.7998997517049072","0.05019548602095691","0.051124071333380164","0","300"
"33","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.01","2000","0.19864301328478248","0.7993070180841303","0.05250612429673455","0.04625892159093792","0","300"
"31","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.01","2000","0.20158713043521323","0.8045300646661547","0.04951345792938597","0.048946995887072166","1","299"
"34","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.01","2000","0.20199842135344845","0.8001775227988813","0.04967569978464641","0.04949216540139969","0","300"
"35","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.01","2000","0.2002471313897899","0.8015691403317794","0.04693396040804875","0.05342017418964527","1","299"
"36","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.01","2000","0.19071511846356887","0.7942429890687229","0.04864338722604591","0.04994589343006968","1","299"
"37","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.01","2000","0.19538307128928015","0.8027048751754731","0.050237658183054396","0.0504190842865264","1","299"
"39","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.01","2000","0.19619149476985673","0.8032859608646971","0.04656877714788336","0.050618691795962546","1","299"
"38","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.01","2000","0.19663235852531857","0.8030079073819633","0.04554137887595242","0.05412061230345364","0","300"
"40","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.01","2000","0.20005197382737425","0.8008440920125435","0.05257649169087043","0.04952902285755998","0","300"
"42","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.01","2000","0.20316515611919478","0.8002617482259731","0.051225361777262265","0.05168021677630443","2","298"
"41","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.01","2000","0.19876297909812388","0.8055345880168711","0.04625232650826405","0.052478392916214645","1","299"
"44","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.01","2000","0.19875348343394747","0.7972085653422263","0.05224989795671114","0.050972776676055","0","300"
"43","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.01","2000","0.19987182597524566","0.7966879447280659","0.04908756051275554","0.0501694396253804","1","299"
"46","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.01","2000","0.197758329989533","0.8043632346154888","0.05169593966739209","0.04798893792509257","1","299"
"45","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.01","2000","0.19774933512570267","0.8016148962057682","0.04786576247058383","0.05025588784335813","2","298"
"47","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.01","2000","0.19473094884793934","0.7980852050712129","0.04652683819054249","0.04966627621325953","3","297"
"49","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.01","2000","0.20330935767301908","0.7977221546163746","0.04981468603196033","0.04811538299799414","1","299"
"48","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.01","2000","0.19936114502619504","0.8008191758594544","0.052433192039919176","0.05135871890870212","1","299"
"50","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.01","2000","0.194678818092181","0.8042688045911836","0.04931276690272421","0.047519595003425195","0","300"
"53","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.01","2000","0.1987909098734036","0.7995823034712011","0.049473146081660965","0.047672731320074054","1","299"
"51","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.01","2000","0.19808468363355083","0.805816255060673","0.04745637371898758","0.04907177610235763","0","300"
"56","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.01","2000","0.20134841174783177","0.795978875989132","0.043965891808942684","0.048061821435725814","0","300"
"55","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.01","2000","0.2021854396378503","0.8026018617084526","0.048358507078384336","0.05026830952277074","0","300"
"52","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.01","2000","0.20358058725756198","0.794619104453618","0.0478270252013725","0.04941410840222839","0","300"
"54","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.01","2000","0.19971595694444688","0.8037187512299111","0.04791825763088547","0.05185829227460721","2","298"
"57","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.01","2000","0.19768063970969743","0.7995306116667898","0.049223136015345496","0.053003356442745744","0","300"
"58","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.01","2000","0.20378685827826903","0.8021327723594192","0.05253567616169057","0.055423227523085636","1","299"
"59","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.01","2000","0.19992348188621015","0.7951053117731256","0.048452273006952165","0.053891869353396266","0","300"
"60","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.01","2000","0.200927009444624","0.8004162967958689","0.047335117567984177","0.051372826745391134","0","300"
"62","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.02","2000","0.19791852755170158","0.8039750634023717","0.04991208558135625","0.0510833014930044","2","298"
"61","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.02","2000","0.20099611765236902","0.8001392277234135","0.04887039310585631","0.05372238906524757","2","298"
"63","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.02","2000","0.2028504353551933","0.7995144397021637","0.05073303952198493","0.055288019754994165","1","299"
"64","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.02","2000","0.2012871164549925","0.7981971397805958","0.04782357813472199","0.04811301266077707","2","298"
"65","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.02","2000","0.1988516489952036","0.7959192897297276","0.05169041410638018","0.050683195528408845","1","299"
"66","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.02","2000","0.19368001176909766","0.8018801641414235","0.05159862859548999","0.05195746740496788","1","299"
"67","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.02","2000","0.19887252219710158","0.8006274221412564","0.049761105525526816","0.046974599225784626","2","298"
"69","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.02","2000","0.20249834102710937","0.7959255863913242","0.05441284689368391","0.04902685224244574","2","298"
"72","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.02","2000","0.19825812408739618","0.8020535786004878","0.04870128520019131","0.04854266340383431","1","299"
"68","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.02","2000","0.20094373191849144","0.7986839114802904","0.048175387633525586","0.04981227251419984","1","299"
"70","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.02","2000","0.2038255198652273","0.8018320044843247","0.050428653746513265","0.04725079021266124","2","298"
"71","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.02","2000","0.19663472638021526","0.7994282095555489","0.04973996036938865","0.046446799469300706","0","300"
"73","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.02","2000","0.20407360341505956","0.8034783819110305","0.04949238779813928","0.04807316807392687","1","299"
"75","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.02","2000","0.1983298016881748","0.8040824059942865","0.051219638675070824","0.048227530817834666","4","296"
"77","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.02","2000","0.20037631856182977","0.8012998493916238","0.04779835982188615","0.05083336545330293","0","300"
"74","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.02","2000","0.19972302074070195","0.8020477689378211","0.047950641668241326","0.049376270435285884","1","299"
"76","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.02","2000","0.20235539446533868","0.8037721287195544","0.04861083146861551","0.052179134924913835","0","300"
"81","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.02","2000","0.1964867509451605","0.8043161650563214","0.04613920546360433","0.04854002562314758","0","300"
"78","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.02","2000","0.20111752183697199","0.8009793039513818","0.05111850329688478","0.050640534153421166","2","298"
"79","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.02","2000","0.19771859148777912","0.7990169494323687","0.05013741447871557","0.05061313475993995","1","299"
"80","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.02","2000","0.20258977202162856","0.7981094316628409","0.05095861963899696","0.05394492910135824","4","296"
"82","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.02","2000","0.19503989479222114","0.7992542408490685","0.05205194845805484","0.04928483479969949","3","297"
"83","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.02","2000","0.19928442053597756","0.7968788669528039","0.05009003427485565","0.050852563698715866","4","296"
"84","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.02","2000","0.2001229298352196","0.7976734360501593","0.049379390605549904","0.047508053937920305","2","298"
"85","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.02","2000","0.1995681793916003","0.7945227584601517","0.0500299010787316","0.04920828270235117","1","299"
"90","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.02","2000","0.2036718751137643","0.8008323362509285","0.04871165643804358","0.05178414163316866","1","299"
"86","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.02","2000","0.19726607576551586","0.8021434550418275","0.047471811139593735","0.04869230432817858","0","300"
"87","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.02","2000","0.19507543661597826","0.795123520396614","0.050497466089532","0.047404415816189274","2","298"
"89","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.02","2000","0.2008190455448759","0.7992805715494614","0.04867636528212444","0.052849920126433025","2","298"
"91","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.03","2000","0.20308407620787483","0.8012692022764742","0.05167748796328657","0.05051417434188594","0","300"
"88","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.02","2000","0.19892499952830206","0.7994483114230604","0.05059011943942338","0.047986910959540025","2","298"
"92","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.03","2000","0.19827250432763113","0.7986222307284536","0.05081381358939315","0.05243234539025967","3","297"
"93","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.03","2000","0.20132750076763822","0.7962998519474969","0.04673021258203924","0.05036833255062781","3","297"
"94","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.03","2000","0.1992985798855783","0.8011600182531179","0.05045617366856605","0.05164467353455139","1","299"
"95","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.03","2000","0.20221579492348118","0.8022390529332681","0.048226020794532996","0.05294675416596557","3","297"
"96","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.03","2000","0.19843019944830714","0.8011791481319911","0.047594031935098896","0.04787854389126655","1","299"
"97","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.03","2000","0.20181418598934608","0.7984913273477051","0.048597331390868435","0.05301897375540865","3","297"
"98","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.03","2000","0.2016191508124697","0.8000833080048754","0.0504129249280311","0.05002138773331847","2","298"
