BehaviorSpace results (NetLogo 6.0.4),,,,,,,,,,,,,,,,,,,,
behaviour-field7.nlogo,,,,,,,,,,,,,,,,,,,,
network,,,,,,,,,,,,,,,,,,,,
07/17/2019 13:22:52:083 +0200,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,
-100,100,-100,100,,,,,,,,,,,,,,,,,
[run number],networks,initial-pro,construct-non,rebound,mutate-on?,network-param,initial-non,network-type,niche-construction,random-seed?,social-learning,rseed,asocial-learning,mu,number-of-agents,construct-pro,pro-amount,[step],link-neighbors,global-clustering-coefficient
2,TRUE,0.5,0.05,0,FALSE,5,0.5,KE,TRUE,FALSE,7.00E-05,74,5.00E-05,0.9,300,0.05,0.5,0,9 29 7 22 5 5 5 8 14 5 5 8 7 9 15 15 7 5 5 6 6 5 9 5 6 7 6 7 11 5 6 10 5 5 7 8 23 11 15 24 5 5 11 5 7 19 6 6 30 6 7 7 24 9 8 15 5 5 29 10 17 6 6 11 26 9 19 32 7 8 14 5 8 8 18 6 5 9 6 11 5 7 6 8 5 6 54 6 7 8 22 7 5 8 6 31 6 5 8 26 12 9 7 5 11 6 27 9 6 15 17 5 8 5 6 5 5 5 9 6 5 7 7 9 10 11 33 19 13 6 18 6 9 7 5 6 8 5 5 5 6 5 6 5 18 6 6 7 8 9 5 8 5 8 16 5 8 6 8 7 12 8 13 11 5 17 15 5 12 7 7 11 6 6 5 10 9 5 5 14 7 12 6 5 5 7 5 30 7 5 8 5 9 10 21 6 14 9 7 14 26 23 7 24 7 13 7 5 5 9 12 11 6 5 5 6 5 6 7 76 5 10 6 16 5 12 11 15 6 28 7 14 8 5 6 5 8 5 12 6 5 10 5 14 7 8 6 5 5 8 19 15 10 7 5 14 5 15 7 8 6 6 5 35 5 6 5 11 5 13 5 7 12 11 5 6 10 5 15 6 12 9 11 5 7 9 8 17 8 8 11 6 7 5 15 10 8 8 9 26,0.323011285
11,TRUE,0.5,0.05,0,FALSE,5,0.5,KE,TRUE,FALSE,7.00E-05,74,5.00E-05,0.9,300,0.05,0.5,0,6 25 6 13 11 6 15 5 7 7 38 9 5 10 10 11 6 8 6 13 10 7 5 18 9 12 6 16 13 8 8 6 5 5 8 8 8 5 6 5 5 5 5 7 13 6 12 6 6 10 8 8 18 6 5 12 5 8 17 5 18 5 5 17 8 7 6 7 16 10 7 6 10 6 6 10 17 5 10 7 10 6 11 9 5 25 12 13 6 11 5 5 6 9 20 15 7 5 13 13 5 5 5 32 7 5 15 8 74 15 7 5 6 27 22 9 6 6 7 5 8 9 5 5 7 6 5 18 10 7 5 5 5 5 5 7 8 12 7 5 5 37 17 7 5 9 8 7 10 6 5 96 5 7 5 7 7 5 9 7 9 5 7 5 6 5 6 7 8 6 6 41 5 8 6 10 9 5 6 7 6 15 10 22 8 8 5 6 6 10 9 6 16 5 6 6 5 12 12 7 9 11 9 5 6 8 6 6 5 8 9 5 6 5 5 10 5 6 14 12 7 5 6 5 5 6 5 5 6 6 5 5 5 8 5 8 56 7 6 7 5 5 21 7 8 10 5 7 8 203 5 8 9 5 5 10 9 6 12 7 7 7 25 5 5 17 5 10 8 5 6 5 5 7 5 6 10 8 9 5 9 6 6 7 10 7 7 6 13 6 9 9 6 5 5 5 6 14 27 5,0.15715147
2,TRUE,0.5,0.05,0,FALSE,5,0.5,KE,TRUE,FALSE,7.00E-05,74,5.00E-05,0.9,300,0.05,0.5,1,5 6 5 11 5 6 5 5 6 10 15 5 6 8 11 8 15 7 9 16 7 7 5 5 11 8 5 11 8 5 6 5 5 6 9 5 15 8 5 8 6 7 13 29 6 6 8 6 5 8 8 14 7 6 30 15 7 10 8 15 6 11 23 22 11 11 10 5 19 7 5 8 6 17 6 6 7 9 6 13 9 5 14 5 8 5 22 6 33 14 6 18 5 6 6 19 14 9 5 6 6 5 6 5 7 5 15 6 8 12 7 8 5 5 5 76 30 28 5 11 9 12 8 6 7 5 7 15 5 11 6 5 6 8 18 12 9 13 7 5 5 7 5 8 6 6 14 7 15 6 8 26 7 16 6 5 5 11 11 35 5 14 5 8 5 11 5 6 5 12 10 26 5 7 9 7 7 5 8 14 5 12 7 10 7 5 11 8 8 12 5 5 31 6 9 6 17 6 27 6 32 26 19 7 5 24 18 11 10 9 5 17 12 29 9 24 5 5 6 5 6 54 5 7 5 15 8 9 5 6 5 5 5 7 7 17 7 8 5 19 6 10 6 7 9 5 7 12 6 5 15 8 21 11 5 14 26 7 10 6 12 13 7 9 9 8 5 24 6 9 5 7 7 10 6 7 5 7 6 10 9 5 8 6 5 7 5 8 5 7 8 9 5 23 5 8 5 5 15 9,0.323011285
10,TRUE,0.5,0.05,0,FALSE,5,0.5,KE,TRUE,FALSE,7.00E-05,74,5.00E-05,0.9,300,0.05,0.5,0,6 5 10 7 6 6 10 11 5 22 5 10 16 5 5 23 7 5 5 6 12 11 26 5 6 5 5 8 6 5 6 12 6 17 6 5 5 5 6 15 5 6 8 5 9 6 12 5 12 17 8 10 5 6 41 5 10 16 8 7 11 7 21 7 7 7 13 32 8 5 5 11 7 5 16 9 25 9 5 7 5 5 16 8 9 18 6 8 7 21 5 6 5 8 5 5 5 5 8 5 9 5 5 5 11 6 5 10 30 10 5 10 9 6 6 7 34 8 6 6 13 5 16 5 10 5 9 6 6 25 8 77 6 10 9 9 9 13 5 5 8 14 6 8 5 8 34 6 8 6 58 7 8 8 16 10 8 6 6 4 6 7 11 5 6 5 5 5 5 5 10 5 5 6 5 11 5 10 9 11 5 6 13 9 5 5 5 11 10 6 11 7 6 6 9 5 80 12 5 10 7 5 13 96 6 59 12 11 5 12 9 6 7 13 5 5 6 6 9 11 6 5 14 10 6 14 5 5 7 9 5 5 13 6 5 6 6 6 6 11 5 10 7 5 9 10 10 8 5 72 6 11 5 6 5 5 22 5 8 6 31 8 8 6 7 7 5 17 11 6 5 6 13 7 8 6 5 9 9 10 5 5 9 7 5 7 5 10 6 18 5 5 11 9 6 8 6 6 5 7,0.222972973
11,TRUE,0.5,0.05,0,FALSE,5,0.5,KE,TRUE,FALSE,7.00E-05,74,5.00E-05,0.9,300,0.05,0.5,1,7 8 6 5 16 7 6 5 15 5 12 96 7 8 9 5 5 13 203 5 5 8 7 10 6 5 10 27 5 6 17 10 5 10 15 25 5 6 5 8 10 6 8 5 8 9 25 5 5 7 10 15 11 6 5 8 5 6 6 7 5 12 41 6 6 9 6 7 12 14 13 10 5 9 5 10 5 10 32 10 5 7 9 21 10 5 5 5 7 6 5 12 9 5 18 6 8 11 5 12 11 38 20 6 5 5 8 13 7 6 9 8 8 6 5 6 5 9 7 5 6 5 5 6 6 5 12 6 6 5 5 6 7 5 17 5 7 8 6 5 37 5 13 5 8 7 7 5 5 18 6 7 12 5 10 10 10 74 56 6 25 5 5 8 5 5 13 8 5 6 6 8 6 8 5 5 5 12 5 8 10 8 6 5 18 8 9 16 7 5 5 7 6 9 6 5 8 22 7 5 11 13 7 5 7 6 8 10 7 6 8 7 13 7 9 6 17 6 5 5 7 5 18 17 6 6 15 9 5 7 5 7 8 7 6 7 16 11 5 5 27 17 7 6 9 10 5 6 5 6 5 10 5 6 6 9 7 6 7 10 8 5 9 6 7 9 5 6 5 6 6 7 6 5 9 5 5 12 14 13 9 8 15 5 8 5 7 5 7 6 10 9 7 6 5 6 6 9 7 22,0.15715147
10,TRUE,0.5,0.05,0,FALSE,5,0.5,KE,TRUE,FALSE,7.00E-05,74,5.00E-05,0.9,300,0.05,0.5,1,5 16 11 5 5 6 6 5 10 6 16 5 25 6 5 59 5 11 6 6 11 7 8 10 9 9 6 5 10 6 5 6 5 6 8 7 5 10 9 5 7 6 5 6 6 9 6 6 7 5 7 34 8 6 6 77 5 6 14 5 8 6 18 22 5 9 5 5 10 5 13 6 5 6 5 5 7 10 5 8 8 9 11 6 5 11 6 26 7 5 9 5 6 12 9 5 5 10 8 10 11 5 6 6 21 8 6 34 7 5 41 6 12 6 16 5 5 58 7 5 8 11 5 7 8 80 25 8 5 22 11 5 6 6 6 18 8 16 5 9 5 5 5 11 11 5 5 6 7 32 6 8 14 5 17 5 15 7 6 5 7 10 10 5 6 5 11 10 7 5 8 6 8 6 13 6 16 6 5 96 5 17 5 5 5 5 8 5 12 10 6 31 13 5 8 7 5 7 5 12 5 10 5 6 7 9 5 13 6 9 6 14 6 7 8 5 12 5 9 6 8 5 5 5 30 5 21 7 13 10 6 6 6 10 10 10 11 5 10 10 7 5 9 17 6 16 5 11 5 6 11 10 7 4 9 5 9 5 10 13 12 7 5 5 6 8 8 5 5 9 6 9 7 11 6 9 11 5 5 5 7 5 9 23 8 8 6 6 9 5 13 5 72 5 6 12 9 13 5 8,0.222972973
9,TRUE,0.5,0.05,0,FALSE,5,0.5,KE,TRUE,FALSE,7.00E-05,74,5.00E-05,0.9,300,0.05,0.5,0,7 10 16 8 12 9 6 9 9 11 5 6 5 13 7 13 5 5 6 7 49 9 12 5 7 15 6 8 5 8 25 11 7 5 56 9 7 8 5 7 6 6 7 7 11 11 5 6 9 7 7 20 5 10 7 6 7 7 75 5 12 8 5 5 14 8 7 90 6 5 10 6 5 6 5 7 7 35 10 5 6 7 6 14 35 5 5 8 19 6 5 7 5 11 5 6 5 7 27 6 20 5 9 6 5 10 6 5 5 5 10 17 8 10 5 5 11 7 5 7 6 9 5 5 8 6 5 9 12 5 10 5 9 7 6 7 9 8 13 5 9 5 29 17 6 8 7 7 5 5 11 26 7 5 7 7 5 6 6 5 28 19 6 7 6 21 6 5 5 6 8 5 79 6 6 6 7 5 5 5 28 6 5 7 7 5 10 48 5 13 6 5 27 5 5 9 9 7 6 12 8 5 6 6 6 6 5 5 7 6 8 10 7 6 11 9 5 6 23 21 8 11 5 7 5 5 6 9 7 7 44 26 5 5 7 6 5 6 6 5 7 6 11 8 5 11 10 10 23 5 6 9 6 11 9 7 14 5 10 8 7 6 5 8 7 8 7 20 5 10 7 13 5 17 20 8 5 6 5 5 5 5 9 8 20 5 5 5 6 5 5 31 12 7 5 21 17 6 5 9,0.246142542
9,TRUE,0.5,0.05,0,FALSE,5,0.5,KE,TRUE,FALSE,7.00E-05,74,5.00E-05,0.9,300,0.05,0.5,1,6 5 6 9 6 6 11 9 7 6 7 7 5 5 5 5 13 7 5 12 6 6 6 8 17 5 5 5 6 17 5 10 9 5 8 5 10 5 5 5 10 5 5 10 7 5 5 9 9 8 5 8 12 9 5 5 8 6 16 8 8 6 6 20 8 8 6 6 13 5 5 10 27 8 11 17 5 7 5 7 9 7 5 9 5 8 6 7 5 6 5 5 5 14 23 9 20 5 13 9 5 8 28 7 6 21 7 8 5 5 7 6 5 5 19 5 9 10 6 79 5 8 11 5 7 7 7 5 5 25 20 5 5 11 6 5 11 7 10 10 5 6 12 12 7 6 5 7 26 31 14 7 5 35 90 12 14 6 20 7 7 6 6 9 5 6 7 11 10 7 8 23 5 20 7 19 11 5 9 8 28 5 7 6 6 8 7 48 10 6 17 5 11 7 49 5 21 5 56 7 7 35 6 6 8 9 7 5 10 6 5 7 5 6 75 7 6 13 7 10 6 7 6 5 7 8 5 5 15 6 9 6 5 6 7 5 7 9 12 5 6 5 44 10 11 5 13 6 8 5 7 6 6 5 5 5 7 5 11 5 6 5 5 21 7 5 6 6 9 6 5 8 5 10 11 7 6 7 9 7 6 7 11 5 5 9 9 29 7 6 5 5 7 5 5 27 7 6 26 6,0.246142542
6,TRUE,0.5,0.05,0,FALSE,5,0.5,KE,TRUE,FALSE,7.00E-05,74,5.00E-05,0.9,300,0.05,0.5,0,5 14 5 6 15 5 7 6 6 6 7 5 7 21 6 6 7 8 19 9 30 5 17 5 6 7 12 6 9 5 5 6 5 6 6 6 6 7 8 12 6 7 15 8 6 6 6 9 17 6 5 7 7 20 6 11 5 5 5 10 6 7 12 13 7 50 6 6 19 8 5 10 12 5 6 14 9 13 7 8 6 5 5 6 5 5 6 7 8 10 7 11 13 8 10 5 13 6 10 7 5 18 21 8 5 21 5 17 6 5 28 10 9 9 6 10 5 12 6 13 7 8 9 7 8 27 12 17 5 11 5 8 29 7 6 5 10 23 5 7 7 88 5 14 67 12 6 10 12 6 11 6 5 6 6 5 6 7 19 7 7 8 6 7 5 5 8 5 7 17 7 13 13 15 17 5 7 5 11 5 5 11 6 8 7 11 5 7 7 7 17 12 7 10 11 14 5 9 10 7 6 7 36 7 6 5 7 6 7 5 5 5 7 5 7 9 10 13 11 8 5 7 15 9 8 10 6 7 6 6 8 11 5 6 5 6 6 7 9 39 6 15 15 12 21 5 5 7 15 6 29 12 7 6 5 10 7 9 17 10 6 6 5 6 56 13 20 12 8 5 5 6 7 6 17 5 13 7 17 54 5 6 16 5 6 15 6 6 14 5 5 7 6 5 9 9 6 6 5 9,0.257366519
7,TRUE,0.5,0.05,0,FALSE,5,0.5,KE,TRUE,FALSE,7.00E-05,74,5.00E-05,0.9,300,0.05,0.5,0,6 9 8 14 15 6 6 5 7 24 8 7 5 8 5 26 7 5 10 21 5 8 5 5 6 7 5 7 19 10 7 6 8 12 5 7 6 5 6 5 14 5 10 8 11 9 5 33 18 8 7 6 6 6 11 23 5 6 22 7 7 6 33 14 12 5 8 16 5 9 15 7 6 7 5 18 5 7 5 55 5 9 7 5 5 6 6 9 11 6 8 9 5 5 5 5 7 17 6 7 5 9 8 7 9 8 8 5 5 5 11 7 6 6 8 5 169 5 5 6 5 9 21 6 9 6 6 7 9 15 9 5 10 21 13 10 5 8 13 5 8 9 11 6 6 28 8 8 5 8 5 5 5 6 5 5 5 27 5 14 10 18 13 12 5 16 12 6 7 5 7 6 17 11 8 8 6 6 6 7 5 33 12 6 16 9 8 22 5 5 11 9 12 7 7 5 8 5 5 14 7 10 12 27 6 9 8 7 5 40 5 13 8 6 7 14 5 25 7 18 6 13 6 9 11 5 10 14 13 20 5 8 5 14 9 12 6 5 5 10 5 8 21 6 12 5 10 9 9 5 13 5 7 10 5 7 13 6 7 8 7 7 5 8 11 6 5 6 5 51 5 18 7 5 8 8 6 5 5 11 6 5 7 14 13 6 9 5 5 5 6 7 5 15 5 17 7 6 7 21,0.215462454
